----Starting Signal 3, log file name: C:\Temp\ASC3Logs\3\ECON_10.112.3.2_2024_03_29_1045.dat
header line 1: ,Version #:,3

header line 1: 3-29-2024 10:45:00.0,ECON_10.112.3.2_2024_03_29_1045.dat

header line 1: 3-29-2024 10:45:00.0,Intersection #:,10.112.3.2

header line 1: 3-29-2024 10:45:00.0,IP Address:,10.112.3.2

header line 1: 3-29-2024 10:45:00.0,MAC Address:,00:04:81:02:91:74

header line 1: 3-29-2024 10:45:00.0,Controller Data Log Beginning:,3/29/2024,10:45:00.0

header line 1: 3-29-2024 10:45:00.0,Phases in use:,2,4,5,6,8

3/29/2024 10:52:14 AM 82 2
3/29/2024 10:52:15 AM 81 2
3/29/2024 10:52:17 AM 48 8
3/29/2024 10:52:21 AM 82 2
3/29/2024 10:52:22 AM 21 2
3/29/2024 10:52:22 AM 21 6
3/29/2024 10:52:22 AM 46 4
3/29/2024 10:52:22 AM 46 8
3/29/2024 10:52:23 AM 81 2
3/29/2024 10:52:54 AM 82 6
3/29/2024 10:52:55 AM 81 6
3/29/2024 10:53:16 AM 82 2
3/29/2024 10:53:17 AM 81 2
3/29/2024 10:53:20 AM 150 5
3/29/2024 10:53:20 AM 82 2
3/29/2024 10:53:23 AM 150 1
3/29/2024 10:53:24 AM 81 2
3/29/2024 10:53:29 AM 22 6
3/29/2024 10:53:29 AM 47 8
3/29/2024 10:53:29 AM 49 8
3/29/2024 10:53:29 AM 151 6
3/29/2024 10:53:38 AM 22 2
3/29/2024 10:53:38 AM 47 4
3/29/2024 10:53:38 AM 49 4
3/29/2024 10:53:38 AM 151 2
3/29/2024 10:53:39 AM 82 6
3/29/2024 10:53:40 AM 81 6
3/29/2024 10:53:45 AM 23 2
3/29/2024 10:53:45 AM 23 6
3/29/2024 10:53:45 AM 3 2
3/29/2024 10:53:45 AM 3 6
3/29/2024 10:53:46 AM 48 4
3/29/2024 10:53:47 AM 82 6
3/29/2024 10:53:48 AM 81 6
3/29/2024 10:53:50 AM 82 6
3/29/2024 10:53:52 AM 81 6
3/29/2024 10:53:57 AM 48 8
3/29/2024 10:54:02 AM 21 2
3/29/2024 10:54:02 AM 21 6
3/29/2024 10:54:02 AM 46 4
3/29/2024 10:54:02 AM 46 8
3/29/2024 10:54:27 AM 82 2
3/29/2024 10:54:27 AM 82 5
3/29/2024 10:54:27 AM 43 5
3/29/2024 10:54:28 AM 81 2
3/29/2024 10:54:29 AM 82 2
3/29/2024 10:54:30 AM 81 5
3/29/2024 10:54:30 AM 44 5
3/29/2024 10:54:30 AM 81 2
3/29/2024 10:54:32 AM 82 4
3/29/2024 10:54:32 AM 43 4
3/29/2024 10:54:32 AM 82 2
3/29/2024 10:54:32 AM 81 4
3/29/2024 10:54:32 AM 44 4
3/29/2024 10:54:34 AM 81 2
3/29/2024 10:54:41 AM 82 6
3/29/2024 10:54:43 AM 81 6
3/29/2024 10:54:44 AM 82 2
3/29/2024 10:54:45 AM 81 2
3/29/2024 10:54:52 AM 82 5
3/29/2024 10:54:52 AM 43 5
3/29/2024 10:54:53 AM 82 6
3/29/2024 10:54:55 AM 81 6
3/29/2024 10:54:57 AM 81 5
3/29/2024 10:54:57 AM 44 5
3/29/2024 10:55:00 AM 150 5
3/29/2024 10:55:00 AM 82 4
3/29/2024 10:55:00 AM 43 4
3/29/2024 10:55:00 AM 81 4
3/29/2024 10:55:00 AM 44 4
3/29/2024 10:55:03 AM 150 1
3/29/2024 10:55:09 AM 22 6
3/29/2024 10:55:09 AM 47 8
3/29/2024 10:55:09 AM 49 8
3/29/2024 10:55:09 AM 151 6
3/29/2024 10:55:18 AM 22 2
3/29/2024 10:55:18 AM 47 4
3/29/2024 10:55:18 AM 49 4
3/29/2024 10:55:18 AM 151 2
3/29/2024 10:55:24 AM 82 2
3/29/2024 10:55:25 AM 23 2
3/29/2024 10:55:25 AM 23 6
3/29/2024 10:55:25 AM 3 2
3/29/2024 10:55:25 AM 3 6
3/29/2024 10:55:25 AM 81 2
3/29/2024 10:55:26 AM 48 4
3/29/2024 10:55:26 AM 82 6
3/29/2024 10:55:28 AM 81 6
3/29/2024 10:55:35 AM 82 6
3/29/2024 10:55:37 AM 48 8
3/29/2024 10:55:39 AM 82 2
3/29/2024 10:55:40 AM 81 6
3/29/2024 10:55:41 AM 81 2
3/29/2024 10:55:42 AM 21 2
3/29/2024 10:55:42 AM 21 6
3/29/2024 10:55:42 AM 46 4
3/29/2024 10:55:42 AM 46 8
3/29/2024 10:55:43 AM 82 2
3/29/2024 10:55:45 AM 82 6
3/29/2024 10:55:46 AM 81 2
3/29/2024 10:55:48 AM 81 6
3/29/2024 10:56:11 AM 82 6
3/29/2024 10:56:12 AM 81 6
3/29/2024 10:56:13 AM 82 6
3/29/2024 10:56:14 AM 81 6
3/29/2024 10:56:15 AM 82 5
3/29/2024 10:56:15 AM 43 5
3/29/2024 10:56:22 AM 82 4
3/29/2024 10:56:22 AM 43 4
3/29/2024 10:56:22 AM 81 5
3/29/2024 10:56:22 AM 44 5
3/29/2024 10:56:26 AM 81 4
3/29/2024 10:56:26 AM 44 4
3/29/2024 10:56:30 AM 82 6
3/29/2024 10:56:31 AM 81 6
3/29/2024 10:56:33 AM 82 6
3/29/2024 10:56:34 AM 81 6
3/29/2024 10:56:40 AM 150 5
3/29/2024 10:56:43 AM 150 1
3/29/2024 10:56:49 AM 22 6
3/29/2024 10:56:49 AM 47 8
3/29/2024 10:56:49 AM 49 8
3/29/2024 10:56:49 AM 151 6
3/29/2024 10:56:53 AM 82 2
3/29/2024 10:56:54 AM 81 2
3/29/2024 10:56:58 AM 22 2
3/29/2024 10:56:58 AM 47 4
3/29/2024 10:56:58 AM 49 4
3/29/2024 10:56:58 AM 151 2
3/29/2024 10:57:05 AM 23 2
3/29/2024 10:57:05 AM 23 6
3/29/2024 10:57:05 AM 3 2
3/29/2024 10:57:05 AM 3 6
3/29/2024 10:57:06 AM 48 4
3/29/2024 10:57:07 AM 82 2
3/29/2024 10:57:08 AM 81 2
3/29/2024 10:57:11 AM 82 2
3/29/2024 10:57:13 AM 81 2
3/29/2024 10:57:17 AM 48 8
3/29/2024 10:57:22 AM 21 2
3/29/2024 10:57:22 AM 21 6
3/29/2024 10:57:22 AM 46 4
3/29/2024 10:57:22 AM 46 8
3/29/2024 10:57:40 AM 82 2
3/29/2024 10:57:43 AM 81 2
3/29/2024 10:58:20 AM 150 5
3/29/2024 10:58:23 AM 150 1
3/29/2024 10:58:27 AM 82 6
3/29/2024 10:58:28 AM 81 6
3/29/2024 10:58:29 AM 22 6
3/29/2024 10:58:29 AM 47 8
3/29/2024 10:58:29 AM 49 8
3/29/2024 10:58:29 AM 151 6
3/29/2024 10:58:32 AM 82 2
3/29/2024 10:58:34 AM 81 2
3/29/2024 10:58:38 AM 22 2
3/29/2024 10:58:38 AM 47 4
3/29/2024 10:58:38 AM 49 4
3/29/2024 10:58:38 AM 151 2
3/29/2024 10:58:45 AM 23 2
3/29/2024 10:58:45 AM 23 6
3/29/2024 10:58:45 AM 3 2
3/29/2024 10:58:45 AM 3 6
3/29/2024 10:58:46 AM 48 4
3/29/2024 10:58:57 AM 48 8
3/29/2024 10:59:02 AM 21 2
3/29/2024 10:59:02 AM 21 6
3/29/2024 10:59:02 AM 46 4
3/29/2024 10:59:02 AM 46 8
3/29/2024 10:59:29 AM 82 5
3/29/2024 10:59:29 AM 43 5
3/29/2024 10:59:31 AM 82 2
3/29/2024 10:59:32 AM 81 5
3/29/2024 10:59:32 AM 44 5
3/29/2024 10:59:33 AM 81 2
3/29/2024 10:59:33 AM 82 2
3/29/2024 10:59:35 AM 81 2
3/29/2024 10:59:37 AM 82 5
3/29/2024 10:59:37 AM 43 5
3/29/2024 10:59:38 AM 82 2
3/29/2024 10:59:39 AM 81 2
3/29/2024 10:59:40 AM 81 5
3/29/2024 10:59:40 AM 44 5
3/29/2024 10:59:46 AM 82 6
3/29/2024 10:59:47 AM 81 6
3/29/2024 10:59:52 AM 82 5
3/29/2024 10:59:52 AM 43 5
3/29/2024 10:59:55 AM 81 5
3/29/2024 10:59:55 AM 44 5
3/29/2024 10:45:00 AM 150 5
3,3/29/2024 10:45:03 AM,150,1
3,3/29/2024 10:45:03 AM,82,6
3,3/29/2024 10:45:06 AM,81,6
3,3/29/2024 10:45:09 AM,82,6
3,3/29/2024 10:45:09 AM,22,6
3,3/29/2024 10:45:09 AM,47,8
3,3/29/2024 10:45:09 AM,49,8
3,3/29/2024 10:45:09 AM,151,6
3,3/29/2024 10:45:11 AM,81,6
3,3/29/2024 10:45:18 AM,22,2
3,3/29/2024 10:45:18 AM,47,4
3,3/29/2024 10:45:18 AM,49,4
3,3/29/2024 10:45:18 AM,151,2
3,3/29/2024 10:45:25 AM,23,2
3,3/29/2024 10:45:25 AM,23,6
3,3/29/2024 10:45:25 AM,3,2
3,3/29/2024 10:45:25 AM,3,6
3,3/29/2024 10:45:26 AM,48,4
3,3/29/2024 10:45:33 AM,82,6
3,3/29/2024 10:45:34 AM,81,6
3,3/29/2024 10:45:37 AM,48,8
3,3/29/2024 10:45:37 AM,82,2
3,3/29/2024 10:45:38 AM,82,6
3,3/29/2024 10:45:40 AM,81,2
3,3/29/2024 10:45:41 AM,81,6
3,3/29/2024 10:45:42 AM,21,2
