Log file folder doesn't exsit for signal 121
Log file folder doesn't exsit for signal 122
Log file folder doesn't exsit for signal 123
Log file folder doesn't exsit for signal 124
----Starting Signal 126, log file name: C:\Temp\ASC3Logs\126\ECON_10.112.126.2_2024_03_29_1130.dat
header line 1: ,Version #:,3

header line 1: 3-29-2024 11:30:00.0,ECON_10.112.126.2_2024_03_29_1130.dat

header line 1: 3-29-2024 11:30:00.0,Intersection #:,10.112.126.2

header line 1: 3-29-2024 11:30:00.0,IP Address:,10.112.126.2

header line 1: 3-29-2024 11:30:00.0,MAC Address:,00:04:81:02:79:74

header line 1: 3-29-2024 11:30:00.0,Controller Data Log Beginning:,3/29/2024,11:30:00.0

header line 1: 3-29-2024 11:30:00.0,Phases in use:,2,4,5,6,7,8

3/29/2024 11:31:57 AM 44 2
3/29/2024 11:31:57 AM 44 6
3/29/2024 11:31:59 AM 82 6
3/29/2024 11:31:59 AM 43 2
3/29/2024 11:31:59 AM 43 6
3/29/2024 11:32:01 AM 81 6
3/29/2024 11:32:01 AM 44 2
3/29/2024 11:32:01 AM 44 6
3/29/2024 11:32:02 AM 82 2
3/29/2024 11:32:02 AM 43 2
3/29/2024 11:32:02 AM 43 6
3/29/2024 11:32:04 AM 81 2
3/29/2024 11:32:04 AM 44 2
3/29/2024 11:32:04 AM 44 6
3/29/2024 11:32:04 AM 82 2
3/29/2024 11:32:04 AM 43 2
3/29/2024 11:32:04 AM 43 6
3/29/2024 11:32:06 AM 82 3
3/29/2024 11:32:06 AM 43 4
3/29/2024 11:32:06 AM 81 2
3/29/2024 11:32:06 AM 44 2
3/29/2024 11:32:06 AM 44 6
3/29/2024 11:32:07 AM 82 2
3/29/2024 11:32:07 AM 43 2
3/29/2024 11:32:07 AM 43 6
3/29/2024 11:32:07 AM 3 2
3/29/2024 11:32:07 AM 3 6
3/29/2024 11:32:08 AM 81 3
3/29/2024 11:32:08 AM 44 4
3/29/2024 11:32:08 AM 81 2
3/29/2024 11:32:08 AM 44 2
3/29/2024 11:32:08 AM 44 6
3/29/2024 11:32:11 AM 82 2
3/29/2024 11:32:11 AM 43 2
3/29/2024 11:32:11 AM 43 6
3/29/2024 11:32:11 AM 82 4
3/29/2024 11:32:11 AM 43 4
3/29/2024 11:32:13 AM 81 2
3/29/2024 11:32:13 AM 44 2
3/29/2024 11:32:13 AM 44 6
3/29/2024 11:32:20 AM 82 3
3/29/2024 11:32:23 AM 81 3
3/29/2024 11:32:25 AM 82 2
3/29/2024 11:32:25 AM 43 2
3/29/2024 11:32:25 AM 43 6
3/29/2024 11:32:28 AM 81 2
3/29/2024 11:32:28 AM 44 2
3/29/2024 11:32:28 AM 44 6
3/29/2024 11:32:33 AM 82 2
3/29/2024 11:32:33 AM 43 2
3/29/2024 11:32:33 AM 43 6
3/29/2024 11:32:34 AM 81 2
3/29/2024 11:32:34 AM 44 2
3/29/2024 11:32:34 AM 44 6
3/29/2024 11:32:36 AM 82 2
3/29/2024 11:32:36 AM 43 2
3/29/2024 11:32:36 AM 43 6
3/29/2024 11:32:37 AM 81 2
3/29/2024 11:32:37 AM 44 2
3/29/2024 11:32:37 AM 44 6
3/29/2024 11:32:37 AM 82 2
3/29/2024 11:32:37 AM 43 2
3/29/2024 11:32:37 AM 43 6
3/29/2024 11:32:38 AM 81 2
3/29/2024 11:32:38 AM 44 2
3/29/2024 11:32:38 AM 44 6
3/29/2024 11:32:39 AM 82 2
3/29/2024 11:32:39 AM 43 2
3/29/2024 11:32:39 AM 43 6
3/29/2024 11:32:39 AM 82 6
3/29/2024 11:32:41 AM 81 6
3/29/2024 11:32:41 AM 82 6
3/29/2024 11:32:42 AM 81 2
3/29/2024 11:32:43 AM 81 6
3/29/2024 11:32:43 AM 44 2
3/29/2024 11:32:43 AM 44 6
3/29/2024 11:32:45 AM 82 3
3/29/2024 11:32:47 AM 82 6
3/29/2024 11:32:47 AM 81 3
3/29/2024 11:32:47 AM 43 2
3/29/2024 11:32:47 AM 43 6
3/29/2024 11:32:48 AM 81 6
3/29/2024 11:32:48 AM 44 2
3/29/2024 11:32:48 AM 44 6
3/29/2024 11:32:49 AM 82 3
3/29/2024 11:32:53 AM 82 2
3/29/2024 11:32:53 AM 43 2
3/29/2024 11:32:53 AM 43 6
3/29/2024 11:32:54 AM 81 2
3/29/2024 11:32:54 AM 44 2
3/29/2024 11:32:54 AM 44 6
3/29/2024 11:32:57 AM 82 2
3/29/2024 11:32:57 AM 43 2
3/29/2024 11:32:57 AM 43 6
3/29/2024 11:32:58 AM 81 2
3/29/2024 11:32:58 AM 44 2
3/29/2024 11:32:58 AM 44 6
3/29/2024 11:32:59 AM 82 2
3/29/2024 11:32:59 AM 43 2
3/29/2024 11:32:59 AM 43 6
3/29/2024 11:33:00 AM 81 2
3/29/2024 11:33:00 AM 44 2
3/29/2024 11:33:00 AM 44 6
3/29/2024 11:33:00 AM 150 5
3/29/2024 11:33:00 AM 82 2
3/29/2024 11:33:00 AM 43 2
3/29/2024 11:33:00 AM 43 6
3/29/2024 11:33:03 AM 81 2
3/29/2024 11:33:03 AM 44 2
3/29/2024 11:33:03 AM 44 6
3/29/2024 11:33:04 AM 150 1
3/29/2024 11:33:04 AM 82 6
3/29/2024 11:33:04 AM 43 2
3/29/2024 11:33:04 AM 43 6
3/29/2024 11:33:05 AM 81 6
3/29/2024 11:33:05 AM 44 2
3/29/2024 11:33:05 AM 44 6
3/29/2024 11:33:10 AM 82 2
3/29/2024 11:33:10 AM 43 2
3/29/2024 11:33:10 AM 43 6
3/29/2024 11:33:12 AM 81 2
3/29/2024 11:33:12 AM 44 2
3/29/2024 11:33:12 AM 44 6
3/29/2024 11:33:19 AM 82 6
3/29/2024 11:33:19 AM 43 2
3/29/2024 11:33:19 AM 43 6
3/29/2024 11:33:20 AM 81 6
3/29/2024 11:33:20 AM 44 2
3/29/2024 11:33:20 AM 44 6
3/29/2024 11:33:26 AM 82 6
3/29/2024 11:33:26 AM 43 2
3/29/2024 11:33:26 AM 43 6
3/29/2024 11:33:27 AM 2 4
3/29/2024 11:33:27 AM 82 2
3/29/2024 11:33:27 AM 47 4
3/29/2024 11:33:27 AM 47 8
3/29/2024 11:33:27 AM 49 4
3/29/2024 11:33:27 AM 49 8
3/29/2024 11:33:27 AM 151 2
3/29/2024 11:33:27 AM 151 6
3/29/2024 11:33:27 AM 81 6
3/29/2024 11:33:28 AM 81 2
3/29/2024 11:33:28 AM 44 2
3/29/2024 11:33:28 AM 44 6
3/29/2024 11:33:28 AM 82 6
3/29/2024 11:33:28 AM 43 2
3/29/2024 11:33:28 AM 43 6
3/29/2024 11:33:29 AM 81 6
3/29/2024 11:33:29 AM 44 2
3/29/2024 11:33:29 AM 44 6
3/29/2024 11:33:30 AM 82 6
3/29/2024 11:33:30 AM 43 2
3/29/2024 11:33:30 AM 43 6
3/29/2024 11:33:31 AM 81 6
3/29/2024 11:33:31 AM 44 2
3/29/2024 11:33:31 AM 44 6
3/29/2024 11:33:34 AM 82 5
3/29/2024 11:33:34 AM 43 2
3/29/2024 11:33:34 AM 43 5
3/29/2024 11:33:36 AM 82 2
3/29/2024 11:33:36 AM 43 6
3/29/2024 11:33:37 AM 81 5
3/29/2024 11:33:37 AM 44 5
3/29/2024 11:33:37 AM 81 2
3/29/2024 11:33:37 AM 44 2
3/29/2024 11:33:37 AM 44 6
3/29/2024 11:33:38 AM 82 6
3/29/2024 11:33:38 AM 43 2
3/29/2024 11:33:38 AM 43 6
3/29/2024 11:33:39 AM 82 5
3/29/2024 11:33:39 AM 43 5
3/29/2024 11:33:40 AM 81 6
3/29/2024 11:33:40 AM 44 6
3/29/2024 11:33:41 AM 81 5
3/29/2024 11:33:41 AM 44 2
3/29/2024 11:33:41 AM 44 5
3/29/2024 11:33:45 AM 7 2
3/29/2024 11:33:45 AM 7 6
3/29/2024 11:33:45 AM 8 2
3/29/2024 11:33:45 AM 8 6
3/29/2024 11:33:45 AM 62 2
3/29/2024 11:33:45 AM 62 3
3/29/2024 11:33:45 AM 62 6
3/29/2024 11:33:45 AM 4 2
3/29/2024 11:33:45 AM 4 6
3/29/2024 11:33:45 AM 43 2
3/29/2024 11:33:45 AM 43 6
3/29/2024 11:33:45 AM 47 5
3/29/2024 11:33:45 AM 49 5
3/29/2024 11:33:48 AM 82 6
3/29/2024 11:33:50 AM 10 2
3/29/2024 11:33:50 AM 10 6
3/29/2024 11:33:50 AM 9 2
3/29/2024 11:33:50 AM 9 6
3/29/2024 11:33:50 AM 81 6
3/29/2024 11:33:51 AM 82 6
3/29/2024 11:33:52 AM 11 2
3/29/2024 11:33:52 AM 11 6
3/29/2024 11:33:52 AM 63 2
3/29/2024 11:33:52 AM 63 3
3/29/2024 11:33:52 AM 63 6
3/29/2024 11:33:52 AM 4 2
3/29/2024 11:33:52 AM 4 6
3/29/2024 11:33:52 AM 81 6
3/29/2024 11:33:53 AM 82 6
3/29/2024 11:33:54 AM 81 6
3/29/2024 11:33:56 AM 64 2
3/29/2024 11:33:56 AM 64 3
3/29/2024 11:33:56 AM 64 6
3/29/2024 11:33:57 AM 82 6
3/29/2024 11:33:58 AM 0 4
3/29/2024 11:33:58 AM 0 8
3/29/2024 11:33:58 AM 1 4
3/29/2024 11:33:58 AM 1 8
3/29/2024 11:33:58 AM 2 2
3/29/2024 11:33:58 AM 2 6
3/29/2024 11:33:58 AM 12 2
3/29/2024 11:33:58 AM 12 6
3/29/2024 11:33:58 AM 31 1
3/29/2024 11:33:58 AM 65 2
3/29/2024 11:33:58 AM 65 3
3/29/2024 11:33:58 AM 65 6
3/29/2024 11:34:02 AM 2 2
3/29/2024 11:34:02 AM 2 5
3/29/2024 11:34:02 AM 2 6
3/29/2024 11:34:02 AM 82 5
3/29/2024 11:34:02 AM 43 5
3/29/2024 11:34:04 AM 81 3
3/29/2024 11:34:05 AM 82 3
3/29/2024 11:34:06 AM 81 4
3/29/2024 11:34:07 AM 81 3
3/29/2024 11:34:07 AM 44 4
3/29/2024 11:34:08 AM 82 4
3/29/2024 11:34:08 AM 43 4
3/29/2024 11:34:13 AM 3 4
3/29/2024 11:34:13 AM 3 8
3/29/2024 11:34:16 AM 81 4
3/29/2024 11:34:16 AM 44 4
3/29/2024 11:34:20 AM 7 4
3/29/2024 11:34:20 AM 7 8
3/29/2024 11:34:20 AM 8 4
3/29/2024 11:34:20 AM 8 8
3/29/2024 11:34:20 AM 4 4
3/29/2024 11:34:20 AM 4 8
3/29/2024 11:34:21 AM 82 2
3/29/2024 11:34:24 AM 10 4
3/29/2024 11:34:24 AM 10 8
3/29/2024 11:34:24 AM 9 4
3/29/2024 11:34:24 AM 9 8
3/29/2024 11:34:26 AM 0 2
3/29/2024 11:34:26 AM 0 5
3/29/2024 11:34:26 AM 11 4
3/29/2024 11:34:26 AM 11 8
3/29/2024 11:34:26 AM 1 2
3/29/2024 11:34:26 AM 1 5
3/29/2024 11:34:26 AM 2 6
3/29/2024 11:34:26 AM 12 4
3/29/2024 11:34:26 AM 12 8
3/29/2024 11:34:26 AM 31 2
3/29/2024 11:34:26 AM 61 2
3/29/2024 11:34:26 AM 61 3
3/29/2024 11:34:27 AM 46 4
3/29/2024 11:34:27 AM 46 8
3/29/2024 11:34:27 AM 48 4
3/29/2024 11:34:27 AM 48 8
